year,state,industry,startup_count,nsva,india_internet_penetration,india_population,state_total_startups,sector_share,sector_share_pct,startup_growth_pct,india_internet_growth_pp,india_total_startups,industry_share_national
2017,Andhra Pradesh,Renewable Energy,5.0,645027.0,18.20000076,1359657400.0,103.0,0.04854368932038835,4.854368932038835,2475.0,1.7000007600000018,5473.0,0.025945550886168463
2017,Andhra Pradesh,Retail,1.0,645027.0,18.20000076,1359657400.0,103.0,0.009708737864077669,0.9708737864077669,2475.0,1.7000007600000018,5473.0,0.021194957061940436
2017,Andhra Pradesh,Robotics,3.0,645027.0,18.20000076,1359657400.0,103.0,0.02912621359223301,2.912621359223301,2475.0,1.7000007600000018,5473.0,0.005298739265485109
2017,Andhra Pradesh,Security Solutions,1.0,645027.0,18.20000076,1359657400.0,103.0,0.009708737864077669,0.9708737864077669,2475.0,1.7000007600000018,5473.0,0.006760460442170656
2017,Andhra Pradesh,Social Impact,1.0,645027.0,18.20000076,1359657400.0,103.0,0.009708737864077669,0.9708737864077669,2475.0,1.7000007600000018,5473.0,0.006760460442170656
2017,Andhra Pradesh,Sports,1.0,645027.0,18.20000076,1359657400.0,103.0,0.009708737864077669,0.9708737864077669,2475.0,1.7000007600000018,5473.0,0.004933308971313722
2017,Andhra Pradesh,Technology Hardware,6.0,645027.0,18.20000076,1359657400.0,103.0,0.05825242718446602,5.825242718446602,2475.0,1.7000007600000018,5473.0,0.028138132651196784
2017,Andhra Pradesh,Telecommunication & Networking,1.0,645027.0,18.20000076,1359657400.0,103.0,0.009708737864077669,0.9708737864077669,2475.0,1.7000007600000018,5473.0,0.00968390279554175
2017,Andhra Pradesh,Textiles & Apparel,1.0,645027.0,18.20000076,1359657400.0,103.0,0.009708737864077669,0.9708737864077669,2475.0,1.7000007600000018,5473.0,0.011328339119312992
2017,Assam,Advertising,1.0,233267.0,18.20000076,1359657400.0,35.0,0.02857142857142857,2.857142857142857,250.0,1.7000007600000018,5473.0,0.009866617942627444
2017,Assam,Agriculture,3.0,233267.0,18.20000076,1359657400.0,35.0,0.08571428571428572,8.571428571428571,250.0,1.7000007600000018,5473.0,0.03234058103416773
