Year,State,NSVA
2012-13   ,JHARKHAND,"1,46,407"
2011-12   ,JHARKHAND,"1,25,595"
2025-26   ,KARNATAKA,"26,96,034"
2024-25   ,KARNATAKA,"23,86,662"
2023-24   ,KARNATAKA,"21,38,781"
2022-23   ,KARNATAKA,"19,13,575"
2021-22   ,KARNATAKA,"16,51,489"
2020-21   ,KARNATAKA,"13,44,217"
2019-20   ,KARNATAKA,"13,29,455"
2018-19   ,KARNATAKA,"12,05,326"
2017-18   ,KARNATAKA,"10,74,951"
2016-17   ,KARNATAKA,"9,78,423"
2015-16   ,KARNATAKA,"8,48,367"
2014-15   ,KARNATAKA,"7,43,175"
2013-14   ,KARNATAKA,"6,70,276"
2012-13   ,KARNATAKA,"5,72,069"
2011-12   ,KARNATAKA,"5,01,156"
2025-26   ,KERALA,-
2024-25   ,KERALA,"9,78,647"
2023-24   ,KERALA,"8,87,053"
2022-23   ,KERALA,"8,08,733"
2021-22   ,KERALA,"7,17,743"
2020-21   ,KERALA,"5,94,867"
2019-20   ,KERALA,"6,44,980"
2018-19   ,KERALA,"6,20,058"
2017-18   ,KERALA,"5,65,389"
2016-17   ,KERALA,"5,05,953"
2015-16   ,KERALA,"4,53,054"
2014-15   ,KERALA,"4,19,859"
2013-14   ,KERALA,"3,81,324"
2012-13   ,KERALA,"3,40,354"
2011-12   ,KERALA,"3,00,266"
2025-26   ,MADHYA PRADESH,"14,16,661"
2024-25   ,MADHYA PRADESH,"12,80,469"
2023-24   ,MADHYA PRADESH,"11,62,434"
2022-23   ,MADHYA PRADESH,"10,52,248"
2021-22   ,MADHYA PRADESH,"9,55,549"
2020-21   ,MADHYA PRADESH,"8,04,940"
2019-20   ,MADHYA PRADESH,"7,86,562"
2018-19   ,MADHYA PRADESH,"7,08,624"
2017-18   ,MADHYA PRADESH,"6,17,933"
2016-17   ,MADHYA PRADESH,"5,48,463"
2015-16   ,MADHYA PRADESH,"4,53,142"
2014-15   ,MADHYA PRADESH,"4,05,288"
2013-14   ,MADHYA PRADESH,"3,70,441"
2012-13   ,MADHYA PRADESH,"3,19,431"
2011-12   ,MADHYA PRADESH,"2,70,498"
2025-26   ,MAHARASHTRA,"38,21,420"
2024-25   ,MAHARASHTRA,"34,83,258"
2023-24   ,MAHARASHTRA,"31,11,153"
2022-23   ,MAHARASHTRA,"27,69,896"
2021-22   ,MAHARASHTRA,"23,93,798"
2020-21   ,MAHARASHTRA,"19,83,220"
2019-20   ,MAHARASHTRA,"20,25,393"
2018-19   ,MAHARASHTRA,"19,12,963"
2017-18   ,MAHARASHTRA,"17,92,845"
2016-17   ,MAHARASHTRA,"16,65,074"
2015-16   ,MAHARASHTRA,"14,89,571"
2014-15   ,MAHARASHTRA,"13,61,016"
2013-14   ,MAHARASHTRA,"12,68,041"
2012-13   ,MAHARASHTRA,"11,17,593"
2011-12   ,MAHARASHTRA,"9,90,644"
2025-26   ,MANIPUR,-
2024-25   ,MANIPUR,"43,740"
2023-24   ,MANIPUR,"37,534"
2022-23   ,MANIPUR,"32,602"
2021-22   ,MANIPUR,"29,860"
2020-21   ,MANIPUR,"25,301"
2019-20   ,MANIPUR,"25,653"
2018-19   ,MANIPUR,"23,734"
2017-18   ,MANIPUR,"22,807"
2016-17   ,MANIPUR,"18,277"
2015-16   ,MANIPUR,"16,996"
2014-15   ,MANIPUR,"16,013"
2013-14   ,MANIPUR,"14,097"
2012-13   ,MANIPUR,"12,170"
2011-12   ,MANIPUR,"11,316"
2025-26   ,MEGHALAYA,-
2024-25   ,MEGHALAYA,"47,925"
2023-24   ,MEGHALAYA,"43,027"
2022-23   ,MEGHALAYA,"38,078"
2021-22   ,MEGHALAYA,"32,853"
2020-21   ,MEGHALAYA,"27,572"
2019-20   ,MEGHALAYA,"28,896"
2018-19   ,MEGHALAYA,"26,673"
2017-18   ,MEGHALAYA,"24,355"
2016-17   ,MEGHALAYA,"21,873"
2015-16   ,MEGHALAYA,"20,271"
2014-15   ,MEGHALAYA,"19,490"
2013-14   ,MEGHALAYA,"19,321"
2012-13   ,MEGHALAYA,"18,519"
2011-12   ,MEGHALAYA,"17,032"
2025-26   ,MIZORAM,-
2024-25   ,MIZORAM,"31,925"
2023-24   ,MIZORAM,"27,841"
2022-23   ,MIZORAM,"25,200"
2021-22   ,MIZORAM,"22,500"
2020-21   ,MIZORAM,"20,375"
2019-20   ,MIZORAM,"22,548"
2018-19   ,MIZORAM,"18,682"
2017-18   ,MIZORAM,"17,661"
2016-17   ,MIZORAM,"14,928"
2015-16   ,MIZORAM,"13,271"
2014-15   ,MIZORAM,"11,902"
2013-14   ,MIZORAM,"8,830"
2012-13   ,MIZORAM,"7,527"
2011-12   ,MIZORAM,"6,576"
2025-26   ,NAGALAND,-
2024-25   ,NAGALAND,-
2023-24   ,NAGALAND,"32,931"
2022-23   ,NAGALAND,"29,604"
2021-22   ,NAGALAND,"26,846"
2020-21   ,NAGALAND,"25,070"
2019-20   ,NAGALAND,"25,435"
2018-19   ,NAGALAND,"22,811"
2017-18   ,NAGALAND,"21,012"
2016-17   ,NAGALAND,"18,697"
2015-16   ,NAGALAND,"16,876"
2014-15   ,NAGALAND,"15,948"
2013-14   ,NAGALAND,"14,354"
2012-13   ,NAGALAND,"12,209"
2011-12   ,NAGALAND,"10,444"
2025-26   ,ODISHA,"7,51,750"
2024-25   ,ODISHA,"6,87,464"
2023-24   ,ODISHA,"6,23,576"
2022-23   ,ODISHA,"5,40,756"
2021-22   ,ODISHA,"5,35,035"
2020-21   ,ODISHA,"4,10,802"
2019-20   ,ODISHA,"4,09,975"
2018-19   ,ODISHA,"3,88,903"
2017-18   ,ODISHA,"3,38,578"
2016-17   ,ODISHA,"3,04,504"
2015-16   ,ODISHA,"2,59,936"
2014-15   ,ODISHA,"2,55,875"
2013-14   ,ODISHA,"2,44,945"
2012-13   ,ODISHA,"2,20,776"
2011-12   ,ODISHA,"1,93,471"
2025-26   ,PUNJAB,-
2024-25   ,PUNJAB,"6,41,214"
2023-24   ,PUNJAB,"5,89,054"
2022-23   ,PUNJAB,"5,32,728"
2021-22   ,PUNJAB,"4,77,011"
2020-21   ,PUNJAB,"4,19,342"
2019-20   ,PUNJAB,"4,31,980"
2018-19   ,PUNJAB,"4,10,696"
2017-18   ,PUNJAB,"3,78,634"
2016-17   ,PUNJAB,"3,43,398"
2015-16   ,PUNJAB,"3,13,079"
2014-15   ,PUNJAB,"2,90,423"
2013-14   ,PUNJAB,"2,74,090"
2012-13   ,PUNJAB,"2,50,220"
2011-12   ,PUNJAB,"2,26,373"
2025-26   ,RAJASTHAN,"15,21,722"
2024-25   ,RAJASTHAN,"13,94,325"
2023-24   ,RAJASTHAN,"12,57,295"
2022-23   ,RAJASTHAN,"11,26,156"
2021-22   ,RAJASTHAN,"10,05,399"
2020-21   ,RAJASTHAN,"8,49,566"
2019-20   ,RAJASTHAN,"8,44,988"
2018-19   ,RAJASTHAN,"7,66,756"
2017-18   ,RAJASTHAN,"7,03,676"
2016-17   ,RAJASTHAN,"6,44,011"
2015-16   ,RAJASTHAN,"5,72,191"
2014-15   ,RAJASTHAN,"5,19,521"
2013-14   ,RAJASTHAN,"4,66,554"
2012-13   ,RAJASTHAN,"4,24,894"
2011-12   ,RAJASTHAN,"3,77,478"
2025-26   ,SIKKIM,-
2024-25   ,SIKKIM,"42,138"
2023-24   ,SIKKIM,"37,811"
2022-23   ,SIKKIM,"33,701"
2021-22   ,SIKKIM,"29,892"
2020-21   ,SIKKIM,"26,515"
2019-20   ,SIKKIM,"26,035"
2018-19   ,SIKKIM,"23,353"
2017-18   ,SIKKIM,"20,856"
2016-17   ,SIKKIM,"17,072"
2015-16   ,SIKKIM,"14,952"
2014-15   ,SIKKIM,"12,994"
2013-14   ,SIKKIM,"11,658"
2012-13   ,SIKKIM,"10,446"
2011-12   ,SIKKIM,"9,469"
2025-26   ,TAMIL NADU,"28,96,553"
2024-25   ,TAMIL NADU,"25,66,597"
2023-24   ,TAMIL NADU,"21,96,200"
2022-23   ,TAMIL NADU,"19,24,961"
2021-22   ,TAMIL NADU,"16,94,590"
2020-21   ,TAMIL NADU,"14,65,266"
2019-20   ,TAMIL NADU,"14,23,019"
2018-19   ,TAMIL NADU,"13,28,282"
2017-18   ,TAMIL NADU,"11,83,470"
2016-17   ,TAMIL NADU,"10,53,134"
2015-16   ,TAMIL NADU,"9,56,998"
2014-15   ,TAMIL NADU,"8,67,515"
2013-14   ,TAMIL NADU,"7,78,124"
2012-13   ,TAMIL NADU,"6,98,241"
2011-12   ,TAMIL NADU,"6,16,015"
2025-26   ,TELANGANA,"14,81,185"
2024-25   ,TELANGANA,"13,35,894"
2023-24   ,TELANGANA,"12,08,752"
2022-23   ,TELANGANA,"10,78,174"
2021-22   ,TELANGANA,"9,23,358"
2020-21   ,TELANGANA,"7,74,611"
2019-20   ,TELANGANA,"7,83,591"
2018-19   ,TELANGANA,"6,97,909"
2017-18   ,TELANGANA,"6,09,554"
2016-17   ,TELANGANA,"5,39,673"
2015-16   ,TELANGANA,"4,75,428"
2014-15   ,TELANGANA,"4,16,930"
2013-14   ,TELANGANA,"3,78,431"
2012-13   ,TELANGANA,"3,37,699"
2011-12   ,TELANGANA,"3,01,755"
2025-26   ,TRIPURA,-
2024-25   ,TRIPURA,"74,613"
2023-24   ,TRIPURA,"66,894"
2022-23   ,TRIPURA,"60,789"
2021-22   ,TRIPURA,"53,741"
2020-21   ,TRIPURA,"45,616"
2019-20   ,TRIPURA,"46,453"
2018-19   ,TRIPURA,"42,990"
2017-18   ,TRIPURA,"38,142"
2016-17   ,TRIPURA,"33,918"
2015-16   ,TRIPURA,"31,262"
2014-15   ,TRIPURA,"25,975"
2013-14   ,TRIPURA,"22,776"
2012-13   ,TRIPURA,"19,257"
2011-12   ,TRIPURA,"17,006"
2025-26   ,UTTAR PRADESH,-
2024-25   ,UTTAR PRADESH,"23,96,257"
2023-24   ,UTTAR PRADESH,"20,94,125"
2022-23   ,UTTAR PRADESH,"18,26,694"
2021-22   ,UTTAR PRADESH,"16,15,691"
2020-21   ,UTTAR PRADESH,"13,26,061"
2019-20   ,UTTAR PRADESH,"13,49,890"
2018-19   ,UTTAR PRADESH,"12,58,659"
2017-18   ,UTTAR PRADESH,"11,63,369"
2016-17   ,UTTAR PRADESH,"10,53,820"
2015-16   ,UTTAR PRADESH,"9,29,229"
2014-15   ,UTTAR PRADESH,"8,29,002"
2013-14   ,UTTAR PRADESH,"7,79,034"
2012-13   ,UTTAR PRADESH,"6,87,808"
2011-12   ,UTTAR PRADESH,"6,02,976"
2025-26   ,Uttarakhand,"2,93,455"
2024-25   ,Uttarakhand,"2,68,066"
2023-24   ,Uttarakhand,"2,47,475"
2022-23   ,Uttarakhand,"2,31,292"
2021-22   ,Uttarakhand,"2,07,285"
2020-21   ,Uttarakhand,"1,84,584"
2019-20   ,Uttarakhand,"1,97,938"
2018-19   ,Uttarakhand,"1,89,503"
2017-18   ,Uttarakhand,"1,78,347"
2016-17   ,Uttarakhand,"1,59,891"
2015-16   ,Uttarakhand,"1,44,709"
2014-15   ,Uttarakhand,"1,32,837"
2013-14   ,Uttarakhand,"1,22,244"
2012-13   ,Uttarakhand,"1,09,177"
2011-12   ,Uttarakhand,"94,965"
2025-26   ,WEST BENGAL,"16,62,856"
2024-25   ,WEST BENGAL,"15,14,967"
2023-24   ,WEST BENGAL,"13,79,923"
2022-23   ,WEST BENGAL,"12,70,089"
2021-22   ,WEST BENGAL,"11,33,417"
2020-21   ,WEST BENGAL,"9,62,658"
2019-20   ,WEST BENGAL,"9,96,500"
2018-19   ,WEST BENGAL,"9,29,049"
2017-18   ,WEST BENGAL,"8,29,666"
2016-17   ,WEST BENGAL,"7,40,846"
2015-16   ,WEST BENGAL,"6,78,855"
2014-15   ,WEST BENGAL,"6,12,211"
2013-14   ,WEST BENGAL,"5,83,710"
2012-13   ,WEST BENGAL,"5,14,265"
2011-12   ,WEST BENGAL,"4,51,189"
2025-26   ,ANDAMAN AND NICOBAR ISLANDS,-
2024-25   ,ANDAMAN AND NICOBAR ISLANDS,"10,735"
2023-24   ,ANDAMAN AND NICOBAR ISLANDS,"10,156"
2022-23   ,ANDAMAN AND NICOBAR ISLANDS,"9,690"
2021-22   ,ANDAMAN AND NICOBAR ISLANDS,"8,482"
2020-21   ,ANDAMAN AND NICOBAR ISLANDS,"7,530"
2019-20   ,ANDAMAN AND NICOBAR ISLANDS,"7,927"
2018-19   ,ANDAMAN AND NICOBAR ISLANDS,"7,396"
2017-18   ,ANDAMAN AND NICOBAR ISLANDS,"6,728"
2016-17   ,ANDAMAN AND NICOBAR ISLANDS,"6,006"
2015-16   ,ANDAMAN AND NICOBAR ISLANDS,"5,354"
2014-15   ,ANDAMAN AND NICOBAR ISLANDS,"4,987"
2013-14   ,ANDAMAN AND NICOBAR ISLANDS,"4,304"
2012-13   ,ANDAMAN AND NICOBAR ISLANDS,"3,874"
2011-12   ,ANDAMAN AND NICOBAR ISLANDS,"3,463"
2025-26   ,CHANDIGARH,-
2024-25   ,CHANDIGARH,"56,404"
2023-24   ,CHANDIGARH,"51,886"
2022-23   ,CHANDIGARH,"45,849"
2021-22   ,CHANDIGARH,"37,873"
2020-21   ,CHANDIGARH,"32,385"
2019-20   ,CHANDIGARH,"36,360"
2018-19   ,CHANDIGARH,"33,302"
2017-18   ,CHANDIGARH,"30,251"
2016-17   ,CHANDIGARH,"28,250"
2015-16   ,CHANDIGARH,"25,384"
2014-15   ,CHANDIGARH,"23,475"
2013-14   ,CHANDIGARH,"22,100"
2012-13   ,CHANDIGARH,"19,459"
2011-12   ,CHANDIGARH,"16,893"
2025-26   ,DELHI,-
2024-25   ,DELHI,"9,61,071"
2023-24   ,DELHI,"8,72,147"
2022-23   ,DELHI,"7,72,154"
2021-22   ,DELHI,"6,67,124"
2020-21   ,DELHI,"5,80,589"
2019-20   ,DELHI,"6,24,299"
2018-19   ,DELHI,"5,75,258"
2017-18   ,DELHI,"5,22,631"
2016-17   ,DELHI,"4,73,636"
2015-16   ,DELHI,"4,28,501"
2014-15   ,DELHI,"3,87,925"
2013-14   ,DELHI,"3,46,812"
2012-13   ,DELHI,"3,08,600"
2011-12   ,DELHI,"2,74,085"
2025-26   ,PUDUCHERRY,-
2024-25   ,PUDUCHERRY,"42,176"
2023-24   ,PUDUCHERRY,"37,004"
2022-23   ,PUDUCHERRY,"33,315"
2021-22   ,PUDUCHERRY,"31,552"
2020-21   ,PUDUCHERRY,"29,037"
2019-20   ,PUDUCHERRY,"29,550"
2018-19   ,PUDUCHERRY,"28,173"
2017-18   ,PUDUCHERRY,"25,297"
2016-17   ,PUDUCHERRY,"23,242"
2015-16   ,PUDUCHERRY,"20,862"
2014-15   ,PUDUCHERRY,"17,363"
2013-14   ,PUDUCHERRY,"17,097"
2012-13   ,PUDUCHERRY,"14,580"
2011-12   ,PUDUCHERRY,"13,154"
